steamid,aliases
STEAM_0:0:76483,"EDEdDNEdDYFaN, concmap_god, ~P.I.J.A.N~, ~PIJAN~"
STEAM_0:1:299689,EvilMonk
STEAM_0:1:5622,Doug
STEAM_0:0:222892,"3vil, EvilGrin, [duckless]3vil"
STEAM_0:0:12161876,"Ghosty, epsylon.AU#1|Player, epsylon.Ghosty, epsylon.God, epsylon.god"
STEAM_0:0:5015,Gundophren
STEAM_0:1:8067414,"AssQuackBandit, Dad, xX_Sephiroth_Xx, {WDW}<---Marshy--->"
STEAM_0:1:78489922,bigwolfbulge
STEAM_0:1:104399409,coca
STEAM_0:1:488295,"bad_crabs, cbz"
STEAM_0:0:16450748,"Kerm, KermIE, Kerm_Fucked_Shotty, Kermie, Spermit, flushentity_GUY"
STEAM_0:0:593422298,"spectacular, cloud, spectacular/tanifaa"
STEAM_0:1:139715,"vamp, vmp"
STEAM_0:1:7258560,SLICK
STEAM_0:0:518636634,Ske.sB
STEAM_0:0:755519,RealDeal
STEAM_0:1:4088478,"charlie, Chector, Chermie, Chermit, Chundophren, DuckTCK, Wally, ch3mon, ch4rlie, charbizle, charlie.hu, charliefactory, charlie~uWu~, chawks, chector, choplie, chugTCK, chundophren, d4bad, duckTCK, ir.chegg, kemtosis, kermtosis, shaylie, spectosis, trainstopsound, tweevil, zebo"
STEAM_0:1:5112904,"sd3mon, :E, Chopmon, Simon, s1mon, sdemon, simon~"
STEAM_0:1:10653,"Doggy, Doggy.fF"
STEAM_0:1:888344,evilbob
STEAM_0:1:529863,"Spector,(1)ir.pegg, -TSF-Doug, -TSF-Doug(c), -TSF-Spector, Rector, Sp3ctor, Spawks, Spawkz, Spector.Spectorials, Spector.au, Spectorials, Spundo, [0duck]Spector, clownie, dkz, dt.Spector, hawkeye, hawktor, ir.gepp, ir.pegg., ir.pigg, memeteam.Spector, mute.Spectorials, quack, sd3m0n, soldierdiff, teamFDCHASE.Spector, yuckie"
STEAM_0:0:20306584,"botch, tmdhwgitg"
STEAM_0:1:131282,light
STEAM_0:0:44791068,nzp-phone
STEAM_0:0:21433347,"marshy, foug"
STEAM_0:0:462026510,"mal, mal|afk, walter"
STEAM_0:1:38096925,mystery
STEAM_0:1:349067,"zero, 0, cero, zbo, zchop, ze[b]o, ze[r]o, zebo, zharlie, zhop"
STEAM_0:0:28789132,"hawks, 1Duckrektion, 5hay, BShaw, CDXX, Hector, Hectorials, Hermit, MENOhkz, SP, Shector, SlaydeeZ, Spawks, TampoN, bigbirdbulge, bitchlie, chawks, chaydeez, cmux, dadgaming420, dawks, db4kedmon, deezie, dzy, empty, harlie, hkz, hkzHaWK&hkzboT, hkzHaWKs&hkzboT, ir.pawk, ir.pegg, ir.shay, ir.sodomised, ir.sodomy, p0tat0e, poopki, shaydeez, shaydeez.au, skwah, squarkyhawky, xharlie, zawx, zeedyahs, |E4E|CHoPPeR"
STEAM_0:1:11788346,kix
STEAM_0:0:577108,"ir.pegg, (2)ir.pegg, -_-;;!!, 0ne, Spector, [afganishtan]ir.pegg, anvil, charegg, rowlie"
STEAM_0:1:16295419,"rainz, Playerinho, playa, r, rajns, soju, sojuboi, windmilio"
STEAM_0:0:221013141,"Rodger, ColdRod, HotRod, Minimal, NotRod, Rod, ScoldedCodpiece"
STEAM_0:1:687940,"smiley, (1)ir.pegg, BRB, chopley, sensei, smiley.com.au, vampz"
STEAM_0:0:1912735,"yuki, 2vil, epsyloff.yuki, falconz, g00d, hawkztuah, one, yorkey, zimbabwe.yuki"
